previous_assessment_avg,recent_assessment_score,topic_wise_accuracy,quiz_completion_rate,attendance_percentage,assignment_completion_rate,study_session_completion_rate,avg_daily_study_time_minutes,late_submissions_count,integrity_events_count,weak_topics_count,assessment_attempt_count,risk_level
33.74,33.09,34.92,34.26,43.72,13.15,6.59,5.0,4,8,15,6,2
66.84,69.48,64.76,91.07,92.3,74.88,74.62,69.8,1,2,8,11,2
64.32,61.73,70.27,81.28,88.72,75.65,78.57,44.1,2,1,3,9,1
72.1,70.92,75.18,73.03,91.25,84.29,69.88,72.1,2,2,3,7,2
72.2,85.93,78.14,65.61,84.12,60.31,65.87,47.5,6,4,6,13,2
71.46,64.24,69.93,77.76,86.94,77.86,79.71,37.4,1,3,3,2,2
77.86,88.25,80.92,80.48,90.15,78.56,70.71,70.3,0,1,3,12,1
55.49,50.57,50.89,88.66,89.47,66.76,77.6,70.7,4,2,2,5,2
93.05,93.61,83.62,99.0,98.15,100.0,98.64,84.7,2,0,2,4,0
99.5,100.0,100.0,88.28,100.0,100.0,100.0,71.7,0,0,3,8,0
97.33,100.0,98.58,82.71,85.09,86.51,86.85,55.2,0,0,3,8,0
98.65,87.53,99.16,80.77,95.08,72.02,78.44,68.2,2,1,0,5,0
59.31,55.11,60.04,69.93,76.9,67.16,71.93,79.2,2,4,3,8,2
96.85,100.0,97.93,93.91,88.1,77.25,87.48,80.4,2,0,2,13,0
99.5,100.0,100.0,87.93,100.0,85.43,87.58,63.1,2,0,0,3,0
99.5,100.0,96.75,100.0,100.0,100.0,99.26,100.5,1,0,1,11,0
31.09,14.47,20.0,51.43,65.58,48.95,41.76,7.5,6,3,8,12,2
90.49,94.66,88.12,95.06,96.61,80.63,71.01,74.2,0,1,3,7,0
65.32,73.89,64.74,90.6,92.37,77.33,69.23,74.5,2,5,3,11,2
33.4,32.05,32.11,71.34,67.13,56.0,37.65,17.6,1,4,11,10,2
87.97,100.0,95.68,93.01,96.2,97.83,85.45,97.7,3,0,2,3,0
83.17,79.39,84.47,65.25,85.44,81.66,54.89,69.4,2,2,1,11,1
83.27,80.34,76.09,100.0,88.31,100.0,99.04,77.0,1,0,5,13,2
99.5,100.0,100.0,100.0,95.02,100.0,100.0,88.9,4,1,3,5,1
63.09,62.77,63.53,68.01,77.51,69.2,62.66,63.4,6,2,6,12,2
51.2,41.46,50.3,58.49,58.12,52.62,56.72,25.6,1,1,6,9,2
96.41,97.34,98.82,91.88,94.22,86.65,95.22,65.9,0,0,4,13,0
71.86,75.64,66.6,68.73,77.25,60.27,45.52,13.6,3,1,4,12,2
88.71,87.93,89.21,93.97,98.86,92.14,76.9,82.6,1,0,3,3,0
84.19,71.1,85.1,53.46,82.91,54.97,55.83,19.8,2,1,2,3,1
80.18,78.17,74.67,49.36,59.24,47.6,26.31,17.5,6,1,3,10,2
66.22,71.93,64.69,75.57,90.21,83.31,81.98,60.0,0,1,3,7,1
71.71,65.62,61.44,66.29,82.09,88.88,81.92,89.0,2,1,4,11,2
99.5,100.0,97.89,87.87,95.33,81.72,71.97,79.7,5,1,1,4,1
72.12,66.39,64.06,77.29,92.04,80.43,85.13,69.8,1,1,4,3,1
59.96,50.72,53.0,54.61,82.05,60.27,54.55,50.1,4,1,2,3,2
61.77,54.31,59.92,79.68,92.72,79.2,81.85,50.7,7,1,4,12,2
80.26,83.89,84.9,100.0,100.0,98.1,95.2,83.8,3,3,4,2,1
85.75,97.7,82.53,100.0,98.71,100.0,100.0,116.0,0,1,4,8,0
76.56,77.69,75.15,75.16,84.17,70.24,70.54,77.0,5,1,6,9,2
88.03,91.02,88.23,100.0,100.0,100.0,100.0,121.5,1,1,2,9,0
74.45,78.2,75.36,78.38,85.07,84.9,84.54,51.2,3,2,4,12,2
89.16,97.91,95.69,98.87,100.0,100.0,92.4,70.2,3,3,4,5,1
77.74,84.41,83.48,75.0,86.39,70.2,66.62,62.1,0,2,3,9,1
84.93,92.09,91.19,100.0,98.97,100.0,81.97,67.4,3,0,2,5,0
33.05,23.84,30.52,21.44,35.82,21.5,13.11,5.0,8,2,10,6,2
76.82,79.02,76.66,69.59,86.76,68.71,75.95,62.4,2,2,4,6,2
74.83,66.27,69.54,82.81,83.27,62.23,58.7,31.9,8,0,3,9,2
91.24,96.53,95.66,92.26,99.84,98.4,85.8,104.2,2,0,1,12,0
88.56,96.17,88.08,72.0,80.48,70.64,61.43,70.0,2,1,3,8,1
56.55,60.9,54.86,55.59,68.73,45.3,41.43,49.0,4,4,6,11,2
44.45,21.7,37.8,64.99,65.52,57.25,53.59,31.9,3,3,4,10,2
64.5,66.57,68.28,68.84,79.19,72.7,37.56,64.6,5,5,3,4,2
59.84,55.64,58.25,79.48,66.65,61.62,77.64,50.4,6,2,8,12,2
94.34,97.36,98.03,74.93,82.41,74.91,67.93,65.5,2,1,1,3,1
53.09,37.29,46.01,38.08,64.18,50.04,40.82,35.4,5,3,1,13,2
83.7,84.16,83.28,86.83,96.15,86.93,94.48,66.5,3,3,5,11,2
67.44,53.38,63.56,66.68,86.55,63.4,75.47,55.1,3,3,6,10,2
62.9,59.64,58.52,71.02,82.65,78.01,59.27,51.3,3,2,4,5,2
48.35,46.63,50.57,44.45,55.75,52.16,52.66,28.0,6,2,4,9,2
77.12,84.18,78.84,86.68,88.33,91.73,76.44,65.3,2,2,2,12,1
88.45,100.0,92.13,87.66,82.91,84.43,77.67,70.9,2,0,0,8,0
32.63,21.66,28.82,51.08,56.04,43.25,50.47,24.7,4,0,7,9,2
96.03,95.14,99.02,88.03,94.23,100.0,87.1,97.3,1,0,3,7,0
99.5,100.0,90.87,76.77,94.39,93.24,78.31,104.0,0,0,2,3,0
99.5,87.28,89.79,65.98,86.18,73.02,83.13,78.3,3,0,1,13,1
86.48,89.34,91.67,82.91,100.0,83.16,54.71,53.2,4,0,3,13,1
96.95,100.0,100.0,67.95,90.1,83.74,84.48,47.4,4,1,2,9,1
82.55,68.03,75.27,85.91,87.16,87.16,71.75,86.8,4,0,6,12,2
70.19,58.98,66.2,68.87,73.52,55.02,59.29,59.1,5,4,3,10,2
55.51,46.24,54.38,82.29,90.42,66.25,63.47,29.9,4,1,5,11,2
94.3,100.0,100.0,94.62,100.0,100.0,93.83,92.2,5,0,1,9,0
40.56,33.56,36.22,78.41,69.06,57.78,55.25,16.6,0,6,6,9,2
89.02,89.36,94.42,80.26,89.01,78.24,76.21,75.1,4,2,3,12,1
40.42,21.34,35.44,50.24,60.78,39.51,32.21,29.4,9,2,4,8,2
99.5,100.0,96.0,99.46,100.0,96.77,100.0,95.0,0,0,2,8,0
69.7,61.94,64.32,67.44,86.63,64.09,58.08,44.5,1,2,5,3,2
72.1,74.39,77.81,96.45,100.0,91.0,91.99,73.5,3,1,4,13,1
66.88,61.46,70.48,68.42,76.6,56.08,58.27,46.3,4,2,4,5,2
92.82,100.0,95.35,76.22,93.97,82.92,84.68,82.7,5,1,4,3,1
63.62,65.17,68.61,54.79,64.08,56.38,57.8,48.9,3,0,3,7,2
93.94,84.91,91.93,97.91,100.0,90.56,89.52,85.3,2,0,1,5,0
45.56,50.46,47.16,56.22,73.64,64.25,42.2,23.5,2,6,3,12,2
64.71,69.39,67.25,61.37,68.77,67.34,64.47,18.7,4,2,5,3,2
91.89,95.04,87.51,88.25,92.16,77.1,77.42,57.5,4,2,5,9,2
24.5,23.16,22.9,49.44,50.19,42.93,23.59,5.0,3,5,11,9,2
52.44,59.86,53.16,75.62,77.13,58.34,53.2,67.8,5,2,6,6,2
99.13,100.0,100.0,95.24,100.0,100.0,98.72,112.1,2,0,2,3,0
72.4,63.73,70.1,75.7,85.23,75.12,76.73,84.0,2,1,3,9,1
81.95,94.99,85.96,100.0,97.84,100.0,92.61,114.0,0,0,3,11,0
96.17,96.94,100.0,97.76,100.0,99.96,100.0,110.4,0,0,3,8,0
49.87,49.09,43.53,54.25,77.78,62.68,46.76,13.6,2,2,2,11,2
23.11,8.0,13.56,44.25,46.22,29.02,22.21,5.0,5,3,6,6,2
45.65,48.49,51.79,58.02,59.91,59.14,65.05,50.0,4,5,6,6,2
66.17,57.25,65.35,56.67,82.92,68.1,58.6,39.6,3,1,4,13,2
85.48,84.03,78.59,78.78,90.94,76.27,66.19,54.1,1,1,4,5,1
66.69,61.83,65.71,63.97,67.94,77.27,43.92,13.6,4,1,0,2,2
59.78,46.28,49.58,70.7,69.88,60.22,59.43,48.3,2,2,4,7,2
94.14,100.0,94.67,88.27,94.19,99.41,81.91,76.1,1,1,2,11,0
59.64,68.79,64.95,70.9,78.47,73.51,61.98,23.3,3,0,3,10,2
57.04,51.11,54.65,57.53,69.44,54.52,65.78,37.4,6,5,5,11,2
72.82,74.63,73.23,100.0,97.92,97.64,100.0,95.0,1,1,6,13,2
99.5,100.0,96.4,81.73,90.69,91.94,76.99,70.6,2,0,4,3,0
32.39,22.37,33.2,42.37,58.8,46.41,40.24,30.8,4,2,4,11,2
32.76,25.17,31.86,51.19,53.69,42.64,30.0,5.0,5,6,8,4,2
21.04,8.92,13.22,40.64,56.47,32.84,24.51,5.0,4,6,4,11,2
68.77,61.26,66.4,73.52,84.48,74.58,62.36,42.3,4,1,4,10,2
93.23,100.0,94.56,95.56,100.0,100.0,93.99,95.5,2,0,2,5,0
91.41,92.56,89.65,86.55,99.46,84.38,78.81,55.7,1,1,3,11,0
71.67,86.42,77.85,86.29,87.13,72.97,82.71,58.4,1,1,3,12,1
85.74,82.99,91.38,63.91,76.21,60.78,63.02,50.0,4,1,0,2,1
69.34,63.1,63.5,62.34,70.99,53.74,49.09,38.0,4,1,4,5,2
68.43,68.78,70.81,77.94,92.54,78.74,76.22,60.9,6,5,5,6,2
85.58,89.73,90.58,99.42,100.0,100.0,93.16,102.2,3,1,1,2,0
63.04,61.31,64.34,76.18,74.43,66.37,66.63,49.3,1,3,5,8,2
92.18,96.17,97.35,89.81,91.9,88.85,86.45,64.2,5,0,2,6,1
99.5,95.19,97.59,81.24,97.68,90.59,86.29,68.9,2,0,0,4,0
72.5,70.95,73.88,100.0,94.91,97.43,100.0,90.2,0,0,6,6,2
81.03,94.02,86.46,100.0,99.92,100.0,100.0,106.1,4,0,1,9,0
34.45,30.4,27.78,62.32,54.53,36.53,40.72,5.0,3,1,2,5,2
74.0,64.18,66.1,91.95,82.47,82.37,89.79,63.7,2,0,1,5,1
98.91,100.0,100.0,98.59,100.0,96.43,99.6,103.0,1,0,1,8,0
99.5,100.0,97.85,72.56,89.01,79.32,79.2,61.3,2,2,5,10,2
68.87,73.94,69.5,80.65,91.78,91.48,86.8,71.0,3,4,5,12,2
92.66,81.81,91.6,77.95,79.74,81.5,76.14,45.0,2,1,4,6,1
87.33,75.64,82.4,82.04,75.91,66.76,57.12,46.5,3,1,1,6,1
98.31,100.0,100.0,81.94,88.57,82.35,87.49,74.5,1,0,1,3,0
87.28,100.0,91.69,85.02,82.98,84.29,74.19,62.0,8,3,3,11,2
92.37,94.87,89.2,99.62,96.57,100.0,97.76,94.3,2,0,6,9,2
99.5,100.0,100.0,90.4,92.02,94.52,97.7,72.4,3,0,4,13,0
90.61,88.55,86.53,83.37,97.36,86.8,97.37,49.5,3,2,4,11,1
58.79,66.93,66.93,68.46,65.94,50.84,64.2,5.0,1,2,3,10,2
89.23,93.94,93.31,98.52,84.34,91.61,94.83,92.8,2,1,1,10,0
45.02,27.06,36.11,32.06,60.08,33.9,33.0,31.9,2,2,1,6,2
85.46,83.66,87.15,80.54,90.24,94.58,96.82,98.0,1,1,4,6,1
81.76,74.19,77.02,78.2,90.79,68.73,61.39,39.5,3,2,5,13,2
82.94,89.78,82.48,100.0,97.09,97.51,96.48,100.8,0,0,3,8,0
69.75,64.34,68.54,68.59,88.89,82.6,83.25,46.1,7,5,5,9,2
91.3,91.55,94.5,87.82,93.42,90.07,88.75,66.3,7,1,1,12,1
89.72,100.0,94.74,93.43,87.54,73.27,82.13,87.9,1,0,3,6,0
64.03,50.2,55.83,44.37,63.81,45.15,28.12,5.0,4,0,2,11,2
98.96,100.0,93.96,93.25,90.36,93.28,100.0,77.0,1,1,5,5,2
74.46,72.9,73.16,81.68,89.51,74.04,74.47,53.8,4,1,1,8,1
60.69,61.13,56.48,77.15,78.89,75.35,67.11,50.3,3,1,1,5,2
76.01,82.08,77.92,77.04,75.56,76.31,71.47,82.3,3,0,3,9,1
85.11,69.08,78.88,85.03,89.72,83.91,73.41,77.2,4,4,0,13,2
75.64,80.01,80.15,83.52,90.12,83.95,75.15,51.7,2,3,1,10,1
65.97,63.2,67.5,72.75,74.04,70.52,69.59,61.6,3,0,6,9,2
59.6,55.49,61.97,67.14,69.71,50.13,41.76,22.6,8,3,6,6,2
48.51,44.63,46.96,60.9,68.72,54.05,48.73,31.8,6,2,7,3,2
38.52,25.54,31.98,43.74,51.86,22.92,21.69,5.0,2,2,8,11,2
73.6,75.52,76.09,75.97,80.41,79.11,74.72,56.2,1,2,3,12,1
80.69,80.84,82.44,92.12,95.78,93.93,97.81,80.3,3,1,3,10,1
85.51,100.0,92.53,95.77,92.78,95.5,88.76,87.4,2,3,1,8,1
79.31,74.82,85.24,92.06,81.09,81.58,78.7,79.7,3,2,4,13,2
97.98,100.0,100.0,95.3,98.06,74.6,79.81,49.2,4,1,2,11,1
88.85,82.7,91.24,86.3,88.68,91.46,97.48,70.9,1,0,4,6,1
99.5,100.0,95.35,98.23,88.67,89.03,85.07,80.3,1,0,2,5,0
58.83,56.38,54.01,54.57,68.12,44.05,48.46,40.2,2,3,1,11,2
87.8,88.48,84.96,100.0,99.17,100.0,98.02,66.0,2,2,1,4,0
81.66,72.29,78.16,69.64,85.12,62.0,69.44,69.4,2,2,1,10,1
65.11,64.88,64.45,88.14,80.35,74.75,74.06,65.4,3,4,3,12,2
42.87,48.73,46.15,66.15,74.13,70.6,53.25,55.0,3,4,4,3,2
62.01,56.18,66.41,40.19,69.67,60.81,38.01,5.0,2,2,5,4,2
66.57,78.58,70.78,60.33,77.47,64.47,61.82,38.2,2,5,1,8,2
79.7,82.57,82.73,67.32,84.94,64.22,70.99,32.1,1,4,6,9,2
99.5,100.0,100.0,100.0,100.0,99.44,100.0,102.6,0,0,1,2,0
77.7,61.44,75.85,84.93,86.03,96.59,80.23,70.2,4,0,4,7,1
58.7,46.18,56.49,75.93,78.89,56.34,62.62,48.0,6,0,13,8,2
99.5,100.0,99.49,100.0,100.0,95.23,94.23,77.1,2,0,0,7,0
99.5,95.27,100.0,98.98,100.0,100.0,100.0,83.1,1,0,1,3,0
98.82,99.55,100.0,93.62,86.33,85.39,66.7,77.3,2,0,2,2,0
90.14,98.66,96.84,100.0,100.0,99.7,99.06,79.7,1,0,3,10,0
99.5,98.11,99.15,72.1,86.79,68.8,67.32,62.1,3,1,0,13,1
89.55,92.11,93.18,90.56,100.0,94.58,95.46,73.3,2,2,7,12,2
66.98,80.1,71.06,64.36,75.2,62.51,76.31,51.9,1,4,2,11,2
35.66,26.33,28.05,36.68,46.81,15.48,31.33,12.0,4,2,11,4,2
81.29,83.84,80.43,92.22,89.59,89.77,82.46,76.5,1,1,4,3,1
12.0,8.0,12.93,36.76,55.42,37.42,28.97,17.3,6,7,8,6,2
92.47,96.82,96.26,95.03,88.14,90.99,100.0,92.2,1,1,1,5,0
35.98,23.25,28.4,42.34,49.62,46.54,16.48,8.7,6,3,8,8,2
17.66,21.79,24.74,32.71,46.14,37.56,30.31,5.3,3,4,7,8,2
68.82,74.62,67.05,84.24,73.82,81.28,82.56,52.2,2,1,3,9,1
75.25,89.66,81.38,97.62,89.0,99.34,96.34,66.2,1,2,8,2,2
46.04,45.34,44.12,65.52,69.55,76.41,44.57,46.0,3,1,6,10,2
41.04,46.94,44.06,67.9,63.63,65.25,47.96,24.8,7,3,4,2,2
20.39,8.0,10.67,44.67,61.25,44.56,38.61,12.8,6,5,5,12,2
67.93,71.04,62.45,91.3,88.47,81.95,73.47,71.2,3,5,3,5,2
85.58,84.51,82.74,100.0,97.18,100.0,89.5,98.8,2,0,2,5,0
50.41,51.09,53.38,95.87,77.8,75.19,84.88,37.7,1,4,5,10,2
72.04,67.75,71.16,53.74,67.84,47.03,48.19,27.9,3,1,2,8,2
52.08,39.93,42.04,61.9,73.06,56.75,47.22,38.3,5,2,4,6,2
99.5,97.15,100.0,100.0,100.0,100.0,100.0,97.4,2,0,2,11,0
83.34,89.41,86.53,76.1,86.57,71.91,68.43,56.4,0,0,5,8,2
83.07,72.04,81.89,90.95,90.09,84.99,86.29,71.2,0,3,3,6,1
90.49,100.0,92.75,71.98,79.86,67.68,82.54,53.1,2,2,3,11,1
92.49,91.14,84.81,100.0,97.51,92.72,89.56,74.5,1,0,2,5,0
68.02,74.75,76.53,90.61,80.65,85.28,90.24,53.0,1,1,5,7,2
27.27,26.4,26.25,46.54,62.67,56.14,47.16,5.0,2,6,7,7,2
84.75,83.06,88.06,100.0,95.92,100.0,90.14,94.1,1,2,8,7,2
71.55,79.69,73.1,90.03,87.38,83.17,84.24,59.4,1,2,6,10,2
90.39,95.11,92.56,90.41,91.41,74.59,92.93,83.5,2,2,1,2,1
46.35,45.8,39.63,57.56,66.28,48.09,53.27,38.3,3,5,3,8,2
94.39,100.0,93.21,87.7,96.36,100.0,100.0,94.4,2,1,4,13,0
81.89,95.98,93.17,100.0,100.0,100.0,100.0,91.6,0,1,3,10,0
78.14,74.7,80.32,84.56,91.94,100.0,73.73,87.3,3,1,2,12,1
98.51,100.0,100.0,81.98,88.75,82.05,100.0,39.3,4,0,2,11,0
95.43,90.77,95.6,76.0,86.17,73.78,77.1,54.9,4,0,1,6,1
38.45,26.23,34.81,33.26,50.77,36.42,31.77,5.0,6,4,4,6,2
59.5,61.34,64.02,59.7,67.17,60.05,52.59,48.7,4,6,4,9,2
95.04,100.0,100.0,100.0,97.62,87.71,83.77,70.8,2,1,2,4,0
57.2,53.25,56.9,33.65,52.06,40.59,38.46,5.0,9,6,3,2,2
95.66,100.0,97.69,94.56,98.25,92.06,87.89,55.0,0,0,0,3,0
57.29,53.23,59.57,43.9,51.31,36.5,22.49,16.7,2,5,2,10,2
82.02,84.61,78.86,100.0,100.0,99.66,91.07,86.2,3,0,4,7,1
66.69,79.13,70.22,84.58,87.24,79.37,72.91,56.7,2,1,4,8,1
67.77,70.26,63.14,57.97,67.59,68.12,53.32,47.6,2,3,3,13,2
85.51,87.85,82.59,89.57,93.3,86.36,82.13,59.4,1,0,1,8,0
78.65,87.87,83.0,76.24,83.28,80.66,59.58,66.7,2,1,2,7,1
40.91,33.54,41.21,67.35,73.64,59.67,55.1,14.7,3,3,10,12,2
99.3,100.0,100.0,87.26,92.45,83.11,99.54,90.5,6,0,2,7,1
88.78,100.0,92.59,89.56,88.27,98.4,88.25,110.3,3,1,3,8,1
91.15,78.24,84.63,60.72,75.35,75.34,63.73,25.2,5,2,2,12,2
99.5,100.0,99.4,100.0,100.0,100.0,100.0,119.1,3,0,1,5,0
99.5,100.0,100.0,96.88,99.96,100.0,85.78,80.0,4,0,3,9,0
88.9,94.84,98.37,100.0,100.0,100.0,91.63,112.8,1,0,7,10,2
45.63,39.62,43.38,41.38,69.29,63.45,51.41,5.0,11,3,6,7,2
94.66,100.0,92.31,100.0,100.0,100.0,97.8,77.3,1,0,1,8,0
84.16,96.11,90.25,95.22,92.27,86.35,73.87,97.3,2,0,2,9,0
74.96,85.22,79.2,63.29,83.19,67.64,65.83,74.2,4,1,3,4,2
83.07,82.52,82.71,67.55,85.25,59.66,57.21,52.6,0,0,4,6,1
45.23,39.69,42.06,33.35,53.63,42.69,52.38,5.0,10,1,3,13,2
77.27,71.85,83.49,100.0,100.0,100.0,96.7,93.6,5,1,0,4,1
49.91,38.44,43.53,62.65,67.8,57.51,51.62,15.9,5,4,6,4,2
65.08,59.41,56.78,59.6,64.7,54.94,44.7,13.2,9,1,7,5,2
90.52,100.0,91.72,100.0,100.0,100.0,100.0,95.0,0,1,6,9,2
71.84,67.06,68.06,78.22,74.98,51.84,47.27,35.9,3,3,4,12,2
65.82,66.7,61.09,59.37,83.36,54.44,47.55,24.1,1,2,5,4,2
99.5,100.0,98.93,100.0,100.0,100.0,100.0,91.2,1,0,2,7,0
77.65,77.16,83.92,73.71,82.54,82.45,68.14,64.0,3,0,6,4,2
79.3,94.75,80.09,65.18,82.27,63.24,65.96,49.5,6,1,7,3,2
99.5,100.0,94.15,87.8,100.0,100.0,100.0,71.4,1,0,2,2,0
99.43,100.0,100.0,100.0,87.93,86.35,88.94,75.6,2,0,1,5,0
99.5,93.42,96.39,93.58,92.2,95.32,72.7,77.0,1,1,0,6,0
72.23,72.53,70.82,72.13,78.1,79.64,64.74,54.2,3,2,2,3,2
79.66,74.62,82.06,65.78,79.82,86.6,69.69,59.1,3,1,0,3,1
89.89,100.0,91.51,86.63,81.22,76.58,59.25,58.9,5,0,4,6,1
91.28,90.35,84.67,85.21,93.69,88.63,67.68,69.3,5,1,3,6,1
79.21,79.2,82.41,88.97,89.67,79.96,54.66,69.5,3,1,2,2,1
76.93,74.1,75.61,86.57,83.59,87.79,93.91,83.1,5,1,1,7,1
99.5,96.18,97.78,89.05,95.94,82.48,90.92,90.0,0,0,1,13,0
86.55,85.51,78.36,65.48,90.11,62.64,57.12,43.3,4,0,4,11,1
99.5,100.0,95.69,100.0,100.0,95.28,100.0,72.8,1,0,0,9,0
99.5,100.0,98.89,74.35,92.68,94.55,83.16,66.0,2,0,4,4,0
73.62,73.76,69.42,98.44,90.53,94.84,92.56,80.7,2,1,4,10,1
90.5,87.34,93.12,90.62,98.65,70.35,45.11,66.1,4,0,4,9,1
75.21,89.92,80.54,83.61,100.0,95.67,86.17,56.9,1,1,3,2,1
57.17,67.01,59.95,74.47,82.39,68.4,69.24,30.0,4,1,4,2,2
78.22,83.23,84.02,100.0,94.76,100.0,76.6,75.5,3,0,1,4,0
54.2,50.99,50.65,53.54,62.91,40.76,53.53,21.0,6,1,2,7,2
58.78,72.18,65.41,83.44,74.09,76.97,79.23,41.3,5,2,7,4,2
85.81,100.0,91.21,79.97,88.41,64.76,69.38,63.7,2,0,1,13,0
62.84,65.57,67.23,74.89,76.91,75.6,59.8,34.2,2,3,4,9,2
88.78,96.61,93.51,77.12,91.4,68.56,85.71,55.8,4,0,5,6,2
87.67,89.43,90.85,78.53,74.87,75.35,75.59,43.1,1,1,2,12,1
99.5,94.05,95.39,95.35,98.62,93.92,91.98,88.4,1,0,2,5,0
66.98,67.43,64.91,80.98,85.18,76.07,64.81,52.0,6,1,4,9,2
28.35,34.65,30.38,60.41,63.02,65.91,43.44,59.5,2,4,10,9,2
99.5,98.55,100.0,93.64,83.85,87.56,85.62,84.9,5,0,2,5,1
78.3,67.39,75.68,88.72,93.1,84.69,80.15,67.9,5,0,2,8,1
84.14,84.5,87.4,63.68,83.22,44.05,46.96,24.4,3,0,3,6,1
99.5,90.44,92.7,86.21,90.62,84.93,88.55,80.0,3,0,0,10,0
86.63,72.28,75.86,72.95,82.08,56.35,57.16,71.3,4,1,1,10,2
69.72,56.22,62.68,70.74,76.62,70.94,69.21,36.0,1,1,5,4,2
41.66,18.12,30.12,48.75,57.75,42.12,35.24,30.4,5,2,4,4,2
19.38,18.17,15.16,34.97,54.12,28.63,38.31,13.2,8,6,10,7,2
77.35,82.29,78.4,89.86,91.17,98.85,73.96,66.5,3,1,3,3,1
99.5,100.0,94.59,100.0,100.0,100.0,100.0,83.8,1,0,2,6,0
57.94,61.26,56.98,81.62,84.5,60.49,55.88,18.2,1,2,1,6,2
99.5,100.0,95.83,100.0,100.0,90.94,86.39,90.4,3,0,4,9,0
88.46,86.52,83.05,79.15,96.07,92.13,76.13,54.7,5,0,4,7,1
24.25,23.36,18.99,49.38,64.68,57.7,46.48,35.3,5,1,11,11,2
79.49,72.44,72.89,90.2,84.59,84.39,75.34,66.9,7,1,7,13,2
75.69,77.7,78.52,100.0,91.84,92.15,90.41,82.4,3,1,4,3,1
20.96,29.28,22.99,64.0,65.66,66.69,70.75,34.4,2,4,8,7,2
86.42,89.84,88.16,88.85,94.43,100.0,89.18,80.7,3,1,0,13,0
99.5,100.0,98.87,100.0,100.0,100.0,100.0,104.6,0,0,0,10,0
52.61,44.78,52.17,64.51,57.54,44.85,25.09,7.2,7,2,2,5,2
93.09,97.36,96.72,89.49,92.15,78.93,80.52,78.7,5,0,1,4,1
83.77,89.9,88.22,96.65,94.47,82.5,90.69,62.8,3,1,1,6,1
92.14,100.0,94.38,94.44,99.45,100.0,87.88,88.2,2,1,2,3,0
24.53,15.76,21.05,64.0,75.18,56.49,53.32,25.2,3,4,8,8,2
79.52,86.07,77.29,100.0,100.0,100.0,100.0,91.1,1,0,1,9,0
84.04,85.93,81.95,75.91,90.15,82.13,86.05,40.7,1,0,3,11,1
93.73,88.98,94.87,90.43,96.97,87.35,65.84,44.2,2,0,2,8,0
93.49,98.07,93.02,100.0,100.0,100.0,100.0,92.3,0,0,4,6,0
43.27,47.72,43.94,65.57,89.36,72.41,62.49,45.9,5,5,4,13,2
83.58,78.29,83.95,85.04,88.88,88.68,77.05,63.2,4,1,1,7,1
57.7,71.74,63.97,64.75,65.35,46.62,43.58,15.2,5,2,5,8,2
99.5,100.0,99.71,82.13,100.0,97.11,97.16,81.8,3,0,1,7,0
73.78,77.76,74.3,85.11,91.5,82.68,80.98,62.7,0,5,5,2,2
43.41,37.19,44.27,37.83,49.7,28.29,19.98,5.0,4,2,3,10,2
99.5,100.0,97.02,100.0,100.0,100.0,100.0,138.1,0,1,3,12,0
99.5,100.0,100.0,89.35,96.52,92.73,77.02,93.6,1,0,1,4,0
43.26,33.88,38.55,28.92,60.04,28.79,25.59,5.0,4,2,5,12,2
87.66,100.0,94.48,74.19,100.0,74.36,76.02,55.0,6,2,3,11,1
78.85,74.47,79.66,80.57,87.94,72.43,74.94,46.7,4,2,0,3,1
64.34,53.57,60.67,42.87,67.04,44.66,31.49,27.8,4,1,5,7,2
81.33,85.59,87.12,96.22,99.0,88.85,88.54,75.3,5,1,5,7,2
86.52,99.28,94.11,100.0,97.11,100.0,100.0,80.3,1,1,2,12,0
86.62,100.0,90.53,87.03,97.72,86.91,94.26,77.1,2,0,4,4,0
95.42,99.5,97.81,93.9,100.0,87.45,91.72,58.3,4,0,2,2,0
91.77,100.0,95.91,100.0,91.68,100.0,99.17,83.6,2,0,1,6,0
81.93,83.97,86.48,90.64,80.34,66.97,66.92,48.1,2,2,5,7,2
99.5,100.0,93.83,85.62,81.66,92.29,80.95,66.4,4,0,3,9,1
54.48,62.27,61.71,73.14,66.09,66.94,67.18,48.4,5,2,6,6,2
88.03,94.91,84.4,100.0,87.88,91.48,100.0,78.1,6,0,0,6,0
78.53,87.6,83.73,68.38,80.99,95.49,85.15,69.7,5,2,0,5,1
93.39,100.0,97.63,100.0,100.0,100.0,100.0,113.0,1,1,2,3,0
53.1,49.91,51.07,75.01,74.02,86.63,65.36,73.8,4,1,11,7,2
93.93,92.24,95.6,69.25,90.06,71.3,76.56,64.3,7,1,5,2,2
82.83,89.79,80.72,96.16,95.82,96.64,98.12,67.2,4,0,1,11,0
76.43,77.75,73.74,50.64,64.38,54.19,36.57,33.6,5,2,4,3,2
61.82,76.48,63.15,76.31,76.36,73.26,63.75,77.8,7,2,2,2,2
99.5,100.0,97.04,100.0,97.23,96.47,91.24,72.1,2,0,2,7,0
37.09,45.44,44.38,53.93,64.09,49.2,62.09,11.1,5,1,7,5,2
81.07,89.98,89.35,100.0,80.44,86.23,89.84,92.6,1,0,4,11,1
96.1,91.88,94.11,88.86,94.66,75.24,79.52,72.8,3,0,4,4,1
66.47,67.0,67.4,77.86,77.83,68.37,59.98,45.8,5,2,2,10,2
99.5,100.0,100.0,84.3,94.34,75.8,74.2,42.1,3,1,1,12,0
